Filename,Num_Variables,Num_Clauses,Total_Weight,Best_Satisfied_Weight,Best_Violated_Weight,Iterations,Elapsed_Time
test7.wcnf,20000,100000,5052142,3842919,1209223,1838,1200.23
test14.wcnf,20000,100000,5035899,4425160,610739,1767,1200.2
test16.wcnf,20000,100000,5066788,3859784,1207004,1800,1200.65
test0.wcnf,20000,100000,5041089,3857016,1184073,1801,1200.07
test15.wcnf,20000,100000,5048346,4495566,552780,1750,1200.61
test9.wcnf,20000,100000,5034124,4423281,610843,1746,1200.54
test12.wcnf,20000,100000,5049162,4050663,998499,1747,1200.47
test19.wcnf,20000,100000,5040327,3963215,1077112,1790,1200.11
test10.wcnf,20000,100000,5057556,4233170,824386,1775,1200.47
test2.wcnf,20000,100000,5036870,4485487,551383,1762,1200.45
test1.wcnf,20000,100000,5034478,3970309,1064169,1825,1200.2
test6.wcnf,20000,100000,5048395,4287733,760662,1734,1200.47
test4.wcnf,20000,100000,5029517,3783417,1246100,1796,1200.54
test17.wcnf,20000,100000,5052619,4067253,985366,1782,1200.18
test8.wcnf,20000,100000,5058415,4500340,558075,1766,1200.48
test5.wcnf,20000,100000,5043097,4489202,553895,1771,1200.52
test13.wcnf,20000,100000,5073559,4513919,559640,1773,1200.02
test3.wcnf,20000,100000,5048071,4495802,552269,1745,1200.63
test11.wcnf,20000,100000,5046396,4007526,1038870,1797,1200.55
test18.wcnf,20000,100000,5038557,3982455,1056102,1802,1200.45
