Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight,Elapsed_Time
grid40x40.f10_direct.wcnf,1600,7826,6365301,4927379,1437922,0.563787
grid40x40.f5_direct.wcnf,1600,7826,3260679,2502190,758489,0.0269514
grid80x80.f10_direct.wcnf,6400,31636,25673911,19697379,5976532,0.143175
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,1808306,515453,0.0273213
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,30078831,8845195,0.147811
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5099747,1536898,0.0282846
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,10125518,3226974,0.145258
grid80x80.f5_direct.wcnf,6400,31602,13273024,10044755,3228269,0.151091
grid20x20.f10_direct.wcnf,400,1916,1526265,1187421,338844,0.00768578
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4253166,1496180,0.144405
grid80x80.f15_direct.wcnf,6400,31642,38199439,29415114,8784325,0.153435
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,20013918,6072964,0.145118
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1055932,381753,0.0289444
grid80x80.f2_direct.wcnf,6400,31592,5686408,4203118,1483290,0.15383
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1211296,350253,0.00823069
grid40x40.f15_direct.wcnf,1600,7828,9469905,7351700,2118205,0.0278338
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,614128,185183,0.0077118
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2541440,825361,0.0277003
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,7612880,2265785,0.0268476
grid40x40.f2_direct.wcnf,1600,7812,1397857,1042761,355096,0.0252304
