Filename,Num_Variables,Num_Clauses,Total_Weight,Satisfied_Weight,Violated_Weight
grid40x40.f10_direct.wcnf,1600,7826,6365301,5493466,871835,0.26002
grid40x40.f5_direct.wcnf,1600,7826,3260679,2790304,470375,0.0194113
grid80x80.f10_direct.wcnf,6400,31636,25673911,22079144,3594767,0.0871324
grid20x20.f15.wrap_direct.wcnf,400,1996,2323759,1993714,330045,0.00344395
grid80x80.f15.wrap_direct.wcnf,6400,31975,38924026,33424766,5499260,0.09017
grid40x40.f10.wrap_direct.wcnf,1600,7989,6636645,5721655,914990,0.0162661
grid80x80.f5.wrap_direct.wcnf,6400,31935,13352492,11357963,1994529,0.0919263
grid80x80.f5_direct.wcnf,6400,31602,13273024,11308188,1964836,0.0857612
grid20x20.f10_direct.wcnf,400,1916,1526265,1308718,217547,0.00316477
grid80x80.f2.wrap_direct.wcnf,6400,31914,5749346,4814391,934955,0.0825962
grid80x80.f15_direct.wcnf,6400,31642,38199439,32966839,5232600,0.0808582
grid80x80.f10.wrap_direct.wcnf,6400,31947,26086882,22371833,3715049,0.0842321
grid40x40.f2.wrap_direct.wcnf,1600,7975,1437685,1196450,241235,0.0335998
grid80x80.f2_direct.wcnf,6400,31592,5686408,4770173,916235,0.080491
grid20x20.f10.wrap_direct.wcnf,400,1996,1561549,1340237,221312,0.00347211
grid40x40.f15_direct.wcnf,1600,7828,9469905,8195677,1274228,0.0161918
grid20x20.f5.wrap_direct.wcnf,400,1996,799311,680045,119266,0.0034654
grid40x40.f5.wrap_direct.wcnf,1600,7985,3366801,2855806,510995,0.0160503
grid40x40.f15.wrap_direct.wcnf,1600,7989,9878665,8542673,1335992,0.0154145
grid40x40.f2_direct.wcnf,1600,7812,1397857,1180745,217112,0.0150773
